,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Running Time,Budget,Box Office,Release date,imdb,metascore,rotten_tomatoes,Written by,Production company,Story by,Narrated by,French,Spanish,Italian,Portuguese,Animation by,Hangul,Revised Romanization,Japanese,Literally,Turkish,Indonesian,German,Norwegian,Polish,Music,Lyrics,Book,Basis,Productions
112,22-Jul,Paul Greengrass,Scott Rudin Eli Bush Gregory Goodman Paul Greengrass,Paul Greengrass,"['One of Us: The Story of a Massacre in Norway — and Its Aftermath', 'by', 'Åsne Seierstad']",Anders Danielsen Lie Jon Øigarden,Sune Martin,Pål Ulvik Rokseth,William Goldenberg,,Netflix,5 September 2018 ( Venice ) 10 October 2018 (United States),143 minutes,Norway,English,$20 million,"$166,526 ",143,20000000,166526,05-09-18,,,,,Scott Rudin Productions Netflix,,,,,,,,,,,,,,,,,,,,,
113,Apostle,Gareth Evans,Gareth Evans Ed Talfan Aram Tertzakian,,,Dan Stevens Lucy Boynton Mark Lewis Jones Bill Milner Kristine Froseth Paul Higgins Michael Sheen,Fajar Yusekemal Aria Prayogi,Matt Flannery,Gareth Evans,XYZ Films Severn Screen One More One Productions,Netflix,21 September 2018 ( Fantastic Fest ) 12 October 2018,129 minutes,United States United Kingdom,English,,,129,,,21-09-18,,,,Gareth Evans,,,,,,,,,,,,,,,,,,,,,,
114,The Night Comes for Us,Timo Tjahjanto,Todd Brown Nick Spicer Kimo Stamboel Timo Tjahjanto Sukhdev Singh Mike Wiluan Wicky V. Olindo,,,Joe Taslim Iko Uwais Julie Estelle Sunny Pang Zack Lee,Fajar Yuskemal Aria Prayogi,Gunnar Nimpuno,Arifin Cuunk,,Netflix,22 September 2018 ( Fantastic Fest ) 19 October 2018,121 minutes,Indonesia,Indonesian English Mandarin Cantonese French,,,121,,,22-09-18,,,,Timo Tjahjanto,XYZ Films Screenplay Infinite Films,,,,,,,,,,,,,,,,,,,,,
115,Been So Long,Tinge Krishnan,Amanda Jenks Nadine Marsh-Edwards,Ché Walker,"['Been So Long', 'by', 'Arthur Darvill', 'and Ché Walker']",Michaela Coel Arinze Kene,Christopher Nicholas Bangs Arthur Darvill Additional lyricist include Fabian Spencer,Catherine Derry,Peter Christelis,,Netflix,26-Oct-18,,United Kingdom,English,,,,,,26-10-18,,,,,BFI Film Fund Film4 Greenacre Film,,,,,,,,,,,,,,,,,,,,,
116,The Holiday Calendar,Bradley Walsh,Brad Krevoy,,,Kat Graham Quincy Brown Ethan Peck Ron Cephas Jones,Sean Nimmons-Paterson,Peter Benison,Gordon McClellan,,Netflix,02-Nov-18,95 minutes,United States,English,,,95,,,02-11-18,,,,Amyn Kaderali,MPCA,,,,,,,,,,,,,,,,,,,,,
117,The Other Side of the Wind,Orson Welles,Frank Marshall Filip Jan Rymsza,,,John Huston Oja Kodar Peter Bogdanovich Susan Strasberg Norman Foster Bob Random Lilli Palmer Edmond O'Brien Mercedes McCambridge Cameron Mitchell Paul Stewart Gregory Sierra Tonio Selwart Dan Tobin Joseph McBride Dennis Hopper,Michel Legrand,Gary Graver,Bob Murawski Orson Welles,,Netflix,"August 31, 2018 ( Venice ) September 1, 2018 ( Telluride ) September 29, 2018 ( NYFF ) November 2, 2018 (United States)",122 minutes,"['United States', 'Pahlavi Iran', 'Islamic Republic of Iran', 'France']","['English', 'German']","['$2 million (1970 USD)', '$6 million completion funds (2018 USD)']",,122,2000000,,31-08-18,,,,Orson Welles Oja Kodar,Americas Film Conservancy Les Films de L'Astrophore Royal Road Entertainment SACI,,,,,,,,,,,,,,,,,,,,,
118,Outlaw King,David Mackenzie,David Mackenzie Gillian Berrie,,,Chris Pine Aaron Taylor-Johnson Florence Pugh Billy Howle Sam Spruell Tony Curran Callan Mulvey James Cosmo Stephen Dillane,Grey Dogs,Barry Ackroyd,Jake Roberts,,Netflix,"September 6, 2018 ( TIFF ) November 9, 2018 (United States)",121 minutes,United Kingdom United States,English,$120 million,,121,120000000,,06-09-18,,,,Bash Doran David Mackenzie James MacInnes,Sigma Films Anonymous Content,,,,,,,,,,,,,,,,,,,,,
119,The Princess Switch,Mike Rohl,Amy Krell Brad Krevoy Linda L. Miller,,,Vanessa Hudgens Sam Palladio Nick Sagar,Terry Frewer,Viorel Sergovici Lulu de Hillerin,Charles Norris,,Netflix,16-Nov-18,102 minutes,United States,English,,,102,,,16-11-18,,,,Robin Bernheim Megan Metzger,,,,,,,,,,,,,,,,,,,,,,
120,Cam,Daniel Goldhaber,Isabelle Link-Levy Adam Hendricks John H. Lang Greg Gilreath,Isa Mazzei,,Madeline Brewer Patch Darragh Melora Walters Devin Druid Imani Hakim Michael Dempsey,Gavin Brivik,Katelin Arizmendi,Daniel Garber,,Netflix,"July 18, 2018 ( Fantasia ) November 16, 2018 (United States)",95 minutes,United States,English,$1 million,,95,1000000,,18-07-18,,,,,Blumhouse Productions Divide/Conquer Gunpowder & Sky Seer Capital,Daniel Goldhaber Isa Mazzei Isabelle Link-Levy,,,,,,,,,,,,,,,,,,,,
121,The Ballad of Buster Scruggs,"['Joel Coen', 'Ethan Coen']",Joel Coen Ethan Coen Megan Ellison Sue Naegle Robert Graf,Joel Coen Ethan Coen,"['All Gold Canyon', 'by', 'Jack London', 'The Girl Who Got Rattled', 'by', 'Stewart Edward White']",James Franco Brendan Gleeson Zoe Kazan Liam Neeson Tim Blake Nelson Tom Waits Tyne Daly Bill Heck Grainger Hines Harry Melling Jonjo O'Neill Chelcie Ross Saul Rubinek,Carter Burwell,Bruno Delbonnel,Roderick Jaynes,,Netflix,"August 31, 2018 ( Venice ) November 9, 2018 (United States)",133 minutes,United States,English,,,133,,,31-08-18,,,,,"['Annapurna Pictures', 'Mike Zoss Productions']",,,,,,,,,,,,,,,,,,,,,
122,The Christmas Chronicles,Clay Kaytis,Chris Columbus Michael Barnathan Mark Radcliffe,Matt Lieberman,,Kurt Russell Judah Lewis Darby Camp Lamorne Morris Kimberly Williams-Paisley Oliver Hudson Goldie Hawn Martin Roach Vella Lovell,Christophe Beck,Don Burgess,Dan Zimmerman,1492 Pictures Cinesite Animation,Netflix,,104 minutes,United States,English,,,104,,,,,,,,,Matt Lieberman David Guggenheim,,,,,,,,,,,,,,,,,,,,
123,A Christmas Prince: The Royal Wedding,John Schultz,Amy Krell,,,Rose McIver Ben Lamb Alice Krige Sarah Douglas Tahirah Sharif,Zack Ryan,Viorel Sergovici,Marshall Harvey,,Netflix,30-Nov-18,92 minutes,United States,English,,,92,,,30-11-18,,,,Nathan Atkins,MPCA,,,,,,,,,,,,,,,,,,,,,
124,Rajma Chawal,Leena Yadav,Leena Yadav Aseem Bajaj Gulab Singh Tanwar,"['Vivek Anchalia', 'Manu Rishi Chadha', 'Leena Yadav']",,"['Rishi Kapoor', 'Anirudh Tanwar', 'Amyra Dastur', 'Sheeba Chaddha', 'Aparshakti Khurana', 'Diksha Juneja']",Hitesh Sonik,Donald McAlpine,Thom Noble,,Netflix,30-Nov-18,129 minutes,India,Hindi,,,129,,,30-11-18,,,,,SaarthiE,Vivek Anchalia,,,,,,,,,,,,,,,,,,,,
125,Natale a cinque stelle,Marco Risi,,,,"['Andrea Osvárt', 'Martina Stella', 'Björn Freiberg']",,,,,Netflix,07-Dec-18,100 minutes,Italy,Italian,,,100,,,07-12-18,,,,Enrico Vanzina,,,,,,,,,,,,,,,,,,,,,,
126,Mowgli: Legend of the Jungle,Andy Serkis,Steve Kloves Jonathan Cavendish David Barron,Callie Kloves,"['All the Mowgli Stories', 'by', 'Rudyard Kipling']",Christian Bale Cate Blanchett Benedict Cumberbatch Naomie Harris Andy Serkis Matthew Rhys Freida Pinto Rohan Chand,Nitin Sawhney,Michael Seresin,Mark Sanger Alex Marquez Jeremiah O'Driscoll,,Netflix,25 November 2018 ( Mumbai ) 29 November 2018 (United Kingdom and United States),104 minutes,United Kingdom United States India,English,,,104,,,25-11-18,,,,,Warner Bros. Pictures The Imaginarium,,,,,,,,,,,,,,,,,,,,,
127,Roma,Alfonso Cuarón,Gabriela Rodríguez Alfonso Cuarón Nicolás Celis,,,Yalitza Aparicio Marina de Tavira,,Alfonso Cuarón,Alfonso Cuarón Adam Gough,Espectáculos Fílmicos El Coyúl Pimienta Films Participant Media Esperanto Filmoj,Espectáculos Fílmicos El Coyúl (Mexico) Netflix (Worldwide),30 August 2018 ( Venice ) 21 November 2018 (Mexico and United States),135 minutes,Mexico United States,Spanish Mixtec,$15 million,$5.1 million,135,15000000,5100000,30-08-18,,,,Alfonso Cuarón,,,,,,,,,,,,,,,,,,,,,,
128,Bird Box,Susanne Bier,Dylan Clark Chris Morgan Clayton Townsend,Eric Heisserer,"['Bird Box', 'by', 'Josh Malerman']",Sandra Bullock Trevante Rhodes John Malkovich Danielle Macdonald Sarah Paulson,Trent Reznor Atticus Ross,Salvatore Totino,Ben Lester,,Netflix,"November 12, 2018 ( AFI Fest ) December 14, 2018 (United States)",124 minutes,,English,$19.8 million,,124,19800000,,12-11-18,,,,,Bluegrass Films Chris Morgan Productions,,,,,,,,,,,,,,,,,,,,,
129,Lionheart,Genevieve Nnaji,Chinny Onwugbenu,,,Genevieve Nnaji Nkem Owoh Pete Edochie Onyeka Onwenu Kanayo O. Kanayo,Kulanen Ikyo,Yinka Edward,George Cragg,,"['Netflix', 'MPM Premium']",7 September 2018 ( Toronto International Film Festival ) 4 January 2019,95 minutes,Nigeria,English (most) Igbo (10 mins.),,₦21.3m,95,,,07-09-18,,,,Genevieve Nnaji Chinny Onwugbenu C. J. Obasi Ishaya Bako Emil Garuba,The Entertainment Network (T.E.N),,,,,,,,,,,,,,,,,,,,,
130,The Last Laugh,Greg Pritikin,Rob Paris,,,"['Richard Dreyfuss', 'Chevy Chase', 'Andie MacDowell', 'Lewis Black', 'Kate Micucci', 'Chris Parnell']",Jay Weigel,Steve Gainer,Michael Palmerio,,Netflix,"January 11, 2019 (United States)",98 minutes,United States,English,,,98,,,11-01-19,,,,Greg Pritikin,"['Netflix', 'Paris Film']",,,,,,,,,,,,,,,,,,,,,
131,Io,Jonathan Helpert,Jason Michael Berman Laura Rister,,,Margaret Qualley Anthony Mackie Danny Huston,"['Henry Jackman', 'Alex Belcher']",André Chemetoff,Mike Fromentin,Mandalay Pictures Sunset Junction Entertainment Untitled Entertainment Great Point Media,Netflix,18-Jan-19,,United States,English,,,,,,18-01-19,,,,Clay Jeter Charles Spano Will Basanta,,,,,,,,,,,,,,,,,,,,,,
132,Soni,Ivan Ayr,"['Kimsi Singh', 'Kartikeya Narayan Singh']","['Ivan Ayr', 'Kislay']",,"['Geetika Vidya Ohlyan', 'Saloni Batra']","['Nicholas Jacobson-Larson', 'Andrea Penso']",David Bolen,"['Ivan Ayr', 'Gurvinder Singh']",,Netflix,8 September 2018 ( Venice ) 18 January 2019 ( Netflix ),97 minutes,India,Hindi,,,97,,,08-09-18,,,,,"['Jabberwockee Talkies', 'The Film Cafe Production']",,,,,,,,,,,,,,,,,,,,,
133,Polar,Jonas Åkerlund,Robert Kulzer Mike Richardson Keith Goldberg Jeremy Bolt Hartley Gorenstein,,"['Polar', 'by', 'Víctor Santos']",Mads Mikkelsen Vanessa Hudgens Katheryn Winnick Matt Lucas,Deadmau5,Pär M. Ekberg,Doobie White,,Netflix,25-Jan-19,119 minutes,United States Germany Canada,English,,,119,,,25-01-19,,,,Jayson Rothwell,Constantin Film Dark Horse Entertainment,,,,,,,,,,,,,,,,,,,,,
134,Velvet Buzzsaw,Dan Gilroy,Jennifer Fox,,,Jake Gyllenhaal Rene Russo Toni Collette Zawe Ashton Tom Sturridge Natalia Dyer Daveed Diggs Billy Magnussen John Malkovich,Marco Beltrami Buck Sanders,Robert Elswit,John Gilroy,Netflix,Netflix,"January 27, 2019 ( Sundance ) February 1, 2019 (United States)",113 minutes,United States,English,$21.2 million,,113,21200000,,27-01-19,,,,Dan Gilroy,,,,,,,,,,,,,,,,,,,,,,
135,High Flying Bird,Steven Soderbergh,Joseph Malloch,,,André Holland Zazie Beetz Melvin Gregg Sonja Sohn Zachary Quinto Kyle MacLachlan Bill Duke,David Wilder Savage,"['Steven Soderbergh', '(as Peter Andrews)']","['Steven Soderbergh', '(as Mary Ann Bernard)']",Extension 765 Harper Road Films,Netflix,"January 27, 2019 ( Slamdance ) February 8, 2019 (United States)",91 minutes,United States,English,$2 million,,91,2000000,,27-01-19,,,,Tarell Alvin McCraney,,,,,,,,,,,,,,,,,,,,,,
136,Firebrand,Aruna Raje,,,,"['Usha Jadhav', 'Sachin Khedekar', 'Girish Kulkarni']",,,,,Netflix,22-Feb-19,116 minutes,India,Marathi,,,116,,,22-02-19,,,,Aruna Raje,Purple Pebble Pictures,,,,,,,,,,,,,,,,,,,,,
137,Paris Is Us,Elisabeth Vogler,,,,Noémie Schmidt Grégoire Isvarine Marie Mottet,,,,,Netflix,22 February 2019 (Worldwide),83 minutes,France,French,,,83,,,22-02-19,,,,Rémi Bassaler Paul Saïsset Souliman Schelfout Elisabeth Vogler,,,,,,,,,,,,,,,,,,,,,,
138,Paddleton,Alex Lehmann,Mel Eslyn Alana Carithers Sean Bradley,,,Mark Duplass Ray Romano,Julian Wass,Nathan M. Miller,Chris Donlon,Duplass Brothers Productions,Netflix,"February 1, 2019 ( Sundance ) February 22, 2019 (United States)",89 minutes,United States,English,,,89,,,01-02-19,,,,Alex Lehmann Mark Duplass,,,,,,,,,,,,,,,,,,,,,,
139,Walk. Ride. Rodeo.,Conor Allyn,Julie Crank Di Cataldo Sean Dwyer Elizabeth Cullen,Sean Dwyer Greg Cope White,,Missi Pyle Spencer Locke Bailey Chase Sherri Shepherd Corbin Bleu,Sean Murray,Thomas L. Callaway,Cody Miller,,Netflix,08-Mar-19,99 minutes,United States,English,,,99,,,08-03-19,,,,,Poke Prod Netflix,Dan Goforth,,,,,,,,,,,,,,,,,,,,
140,Juanita,Clark Johnson,Stephanie Allain Jason Michael Berman Mel Jones,,"['Dancing on the Edge of the Roof', 'by Sheila Williams']",Alfre Woodard Adam Beach,Kevin Lax,Luc Montpellier,Cindy Mollo,,Netflix,"March 8, 2019 (United States)",,United States,English,,,,,,08-03-19,,,,Roderick Spencer,Homegrown Pictures Mandalay Pictures,,,,,,,,,,,,,,,,,,,,,
141,Triple Frontier,J. C. Chandor,Charles Roven Alex Gartner Andy Horwitz Neal Dodson,Mark Boal J. C. Chandor,,Ben Affleck Oscar Isaac Charlie Hunnam Garrett Hedlund Pedro Pascal,Disasterpeace,Roman Vasyanov,Ron Patane,,Netflix,"March 3, 2019 ( New York City ) March 6, 2019 (United States)",125 minutes,United States,English,$115 million,,125,115000000,,03-03-19,,,,,Atlas Entertainment Netflix,Mark Boal,,,,,,,,,,,,,,,,,,,,
142,The Dirt,Jeff Tremaine,Allen Kovac Erik Olsen Julie Yorn Rick Yorn,Rich Wilkes Amanda Adelson,"[""The Dirt: Confessions of the World's Most Notorious Rock Band"", 'by', 'Neil Strauss', 'Tommy Lee', 'Mick Mars', 'Vince Neil', 'Nikki Sixx']",Douglas Booth Colson Baker Daniel Webber Iwan Rheon Pete Davidson,Paul Haslinger,Toby Oliver,Melissa Kent,,Netflix,"March 18, 2019 ( Hollywood ) March 22, 2019 (United States)",108 minutes,United States,English,$23.1 million,,108,23100000,,18-03-19,,,,,10th Street Entertainment LBI Entertainment,,,,,,,,,,,,,,,,,,,,,
143,The Highwaymen,John Lee Hancock,Casey Silver,,,Kevin Costner Woody Harrelson Kathy Bates John Carroll Lynch Kim Dickens Thomas Mann William Sadler,Thomas Newman,John Schwartzman,Robert Frazen,,Netflix,"March 10, 2019 ( SXSW ) March 15, 2019 (United States)",132 minutes,United States,English,$49 million,,132,49000000,,10-03-19,,,,John Fusco,Casey Silver Productions,,,,,,,,,,,,,,,,,,,,,
144,15-Aug,Swapnaneel Jaykar,Madhuri Dixit,,,Mrinmayee Deshpande Adinath Kothare,,,,,Netflix,29-Mar-19,124 minutes,India,Marathi,,,124,,,29-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Unicorn Store,Brie Larson,Brie Larson David Bernad Terry Dougas Ruben Fleischer Lynette Howell Taylor Paris Kassidokostas-Latsis,,,Brie Larson Samuel L. Jackson Joan Cusack Bradley Whitford Karan Soni Mamoudou Athie Mary Holland Hamish Linklater,Alex Greenwald,Brett Pawlak,Jennifer Vecchierello,,Netflix,"September 11, 2017 ( TIFF ) April 5, 2019 (United States)",92 minutes,United States,English,,,92,,,11-09-17,,,,Samantha McIntyre,The District Rip Cord Productions Rhea Films Sycamore Pictures Hercules Film Fund 51 Entertainment,,,,,,,,,,,,,,,,,,,,,
146,Who Would You Take to a Deserted Island?,Jota Linares,,,,Pol Monen as Eze Jaime Lorente as Marcos Andrea Ros as Celeste María Pedraza as Marta,,,,,,12-Apr-19,,Spain,Spanish,,,,,,12-04-19,,,,Paco Anaya Jota Linares (play),,,,,¿A quién te llevarías a una isla desierta?,,,,,,,,,,,,,,,,,
147,The Perfect Date,Chris Nelson,Matt Kaplan John Tomko,Steve Bloom Randall Green,"['The Stand-In', 'by Steve Bloom']",Noah Centineo Laura Marano Odiseas Georgiadis Camila Mendes Matt Walsh,Joe Wong,Bartosz Nalazek,Brad Wilhite Tara Timpone,Ace Entertainment AwesomenessFilms,Netflix,"April 12, 2019 (United States)",90 minutes,United States,English,$5.7 million,,90,5700000,,12-04-19,,,,,,Steve Bloom,,,,,,,,,,,,,,,,,,,,
148,Someone Great,Jennifer Kaytin Robinson,Paul Feig Jessie Henderson Anthony Bregman Peter Cron Gina Rodriguez,,,Gina Rodriguez Brittany Snow DeWanda Wise Lakeith Stanfield Peter Vack,Germaine Franco,Autumn Eakin,Mollie Goldstein Jeffrey Wolf,Feigco Entertainment Likely Story I Can & I Will Productions,Netflix,"April 19, 2019 (United States)",92 minutes,United States,English,,,92,,,19-04-19,,,,Jennifer Kaytin Robinson,,,,,,,,,,,,,,,,,,,,,,
149,Music Teacher,Sarthak Dasgupta,Sarthak Dasgupta,,,Manav Kaul Divya Dutta Neena Gupta,"['Original Composition:', 'R.D. Burman', 'Music Re-created By:', 'Rochak Kohli']",,,,Netflix,19-Apr-19,101 minutes,India,Hindi,,,101,,,19-04-19,,,,Sarthak Dasgupta Gaurav Sharma (dialogue),Saregama India Yoodlee films,,,,,,,,,,,,,,,,,,,,,
150,Despite Everything,Gabriela Tagliavini,Ramón Campos Teresa Fernández-Valdés Eugene B. Rhee Helena Rhee Eric Charles Wilkinson,,,Blanca Suárez Amaia Salamanca Belén Cuesta Macarena García,Joaquim Badia Emilio Kauderer,Kiko de la Rica,José Manuel Jiménez,Bambú Producciones Cinephile Pictures,Netflix,16 March 2019 ( Málaga ) 3 May 2019 (Spain),78 minutes,Spain,Spanish,,,78,,,16-03-19,,,,Eugene B. Rhee Helena Rhee Gabriela Tagliavini,,Eugene B. Rhee Helena Rhee Eric Charles Wilkinson,,,A pesar de todo,,,,,,,,,,,,,,,,,
151,"Extremely Wicked, Shockingly Evil and Vile",Joe Berlinger,Michael Costigan Nicolas Chartier Joe Berlinger Ara Keshishian Michael Simkin,Michael Werwie,"['The Phantom Prince: My Life with Ted Bundy', 'by Elizabeth Kendall']",Zac Efron Lily Collins Kaya Scodelario Haley Joel Osment Jim Parsons John Malkovich James Hetfield,Marco Beltrami Dennis Smith,Brandon Trost,Josh Schaeffer,,Netflix,"January 26, 2019 ( Sundance ) May 3, 2019 (United States)",108 minutes,United States,English,,$9.8 million,108,,9800000,26-01-19,,,,,COTA Films Voltage Pictures Third Eye Motion Picture Company,,,,,,,,,,,,,,,,,,,,,
152,Wine Country,Amy Poehler,Morgan Sackett Amy Poehler,Emily Spivey Liz Cackowski,,Rachel Dratch Ana Gasteyer Amy Poehler Maya Rudolph Paula Pell Emily Spivey Cherry Jones Maya Erskine Jason Schwartzman Tina Fey,Wendy Melvoin Lisa Coleman,Tom Magill,Julie Monroe,,Netflix,08-May-19,103 minutes,United States,English,,,103,,,08-05-19,,,,,Paper Kite Productions Paper Pictures Dunshire Productions,Amy Poehler Emily Spivey Liz Cackowski,,,,,,,,,,,,,,,,,,,,
153,Good Sam,Kate Melville,Dete Meserve Jesse Prupas,,"['Good Sam', 'by', 'Dete Meserve']",Tiya Sircar Chad Connell Marco Grazzini Jesse Camacho Mark Camacho,Mario Sevigny,Eric Cayla,Isabelle Levesque,,Netflix,16-May-19,90 minutes,United States,,,,90,,,16-05-19,,,,Teena Booth Dete Meserve,Muse Entertainment Wind Dancer Films,,,,,,,,,,,,,,,,,,,,,
154,See You Yesterday,Stefon Bristol,Spike Lee,"['Fredrica Bailey', 'Stefon Bristol']","['See You Yesterday', 'by Fredrica Bailey', 'Stefon Bristol']","['Eden Duncan-Smith', 'Danté Crichlow', 'Marsha Stephanie Blake', 'Johnathan Nieves', 'Myra Lucretia Taylor', 'Wavyy Jonez', 'Rayshawn Richardson', 'Ron Bobb-Semple', 'Brian ""Stro"" Bradley']",Michael Abels,Felipe Vara de Rey,Jennifer Lee,,Netflix,17-May-19,87 minutes,United States,English,,,87,,,17-05-19,,,,,40 Acres & A Mule Filmworks,,,,,,,,,,,,,,,,,,,,,
155,Rim of the world,McG,McG Mary Viola Susan Solomon-Shapiro Matt Smith,,,Jack Gore Miya Cech Benjamin Flores Jr. Alessio Scalzotto Andrew Bachelor Annabeth Gish,Bear McCreary,Shane Hurlbut,Vincent Tabaillon,Wonderland Sound and Vision Circle Of Confusion,Netflix,24-May-19,98 minutes,United States,English,$19.0 million,,98,19000000,,24-05-19,,,,Zack Stentz,,,,,,,,,,,,,,,,,,,,,,
156,The Perfection,Richard Shepard,Bill Block Stacey Reiss Richard Shepard,,,Allison Williams Logan Browning Steven Weber Alaina Huffman,Paul Haslinger,Vanja Černjul,David Dean,Miramax Capstone Film Group,Netflix,"September 20, 2018 ( Fantastic Fest ) May 24, 2019 (United States)",90 minutes,United States,English,,,90,,,20-09-18,,,,Richard Shepard Eric Charmelo Nicole Snyder,,,,,,,,,,,,,,,,,,,,,,
157,Always Be My Maybe,Nahnatchka Khan,Nathan Kahane Erin Westerman Randall Park Ali Wong,,,Ali Wong Randall Park James Saito Michelle Buteau Vivian Bang Daniel Dae Kim Keanu Reeves,Michael Andrews Greyboy,Tim Suhrstedt,Lee Haxall,,Netflix,"May 31, 2019 (United States)",102 minutes,United States,English,,,102,,,31-05-19,,,,Randall Park Ali Wong Michael Golamco,Good Universe,,,,,,,,,,,,,,,,,,,,,
158,Chopsticks,Sachin Yardi,Ashvini Yardi,,,Abhay Deol Mithila Palkar Vijay Raaz,"['Score:', 'Pradeep Mukhopadhyay']",Kedar Gaekwad,Unnikrishnan P. P,,Netflix,31-May-19,100 minutes,India,"['English', 'Hindi']",,,100,,,31-05-19,,,,Sachin Yardi,Viniyard Productions,,,,,,,,,,,,,,,,,,,,,
159,Elisa & Marcela,Isabel Coixet,,,,"['Natalia de Molina', 'Greta Fernández']",Sofía Oriana Infante,,,,Netflix,13 February 2019 ( Berlin ) 24 May 2019 (Spain),,Spain,Spanish,,,,,,13-02-19,,,,Isabel Coixet,,,,,,,,,,,,,,,,,,,,,,
160,Murder Mystery,Kyle Newacheck,Adam Sandler Allen Covert Tripp Vinson James D. Stern James Vanderbilt A.J. Dix,,,Adam Sandler Jennifer Aniston Luke Evans Gemma Arterton Adeel Akhtar Terence Stamp,,Amir Mokri,Tom Costain,Happy Madison Productions Endgame Entertainment Vinson Films Tower Hill Entertainment Mythology Entertainment Denver and Delilah Productions,Netflix,"June 14, 2019 (United States)",97 minutes,United States,English,,,97,,,14-06-19,,,,James Vanderbilt,,,,,,,,,,,,,,,,,,,,,,
161,Beats,Chris Robinson,Robert Teitel Christian Sarabia Glendon Palmer,,,Anthony Anderson Khalil Everage,Siddhartha Khosla,Joshua Reis,David Blackburn,,Netflix,"June 19, 2019 (United States)",110 minutes,United States,English,,,110,,,19-06-19,,,,Miles Orion Feldsott,Global Road Entertainment 51 Minds Entertainment Endemol Shine North America,,,,,,,,,,,,,,,,,,,,,
162,Point Blank,Joe Lynch,Joe Carnahan Frank Grillo Johanna Byer,Adam G. Simon,"['Point Blank', 'by Fred Cavayé']",Frank Grillo Anthony Mackie Marcia Gay Harden Teyonah Parris Boris McGiver Christian Cooke Markice Moore,Mitch Lee,Juanmi Azpiroz,Jim Page,,Netflix,"July 12, 2019 (United States)",87 minutes,United States,,$12 million,,87,12000000,,12-07-19,,,,,Gaumont Film Company WarParty,,,,,,,,,,,,,,,,,,,,,
163,Secret Obsession,Peter Sullivan,Jeffrey Schenck Barry Barnholtz,,,Brenda Song Mike Vogel Dennis Haysbert Ashley Scott,Jim Dooley,Eitan Almagor,Randy Carter,,Netflix,18-Jul-19,97 minutes,United States,English,,,97,,,18-07-19,,,,Kraig Wenman Peter Sullivan,Hybrid Films,,,,,,,,,,,,,,,,,,,,,
164,The Red Sea Diving Resort,Gideon Raff,Aaron L. Gilbert Alexandra Milchan Gideon Raff,,,Chris Evans Michael K. Williams Haley Bennett Michiel Huisman Alessandro Nivola Greg Kinnear Ben Kingsley,Mychael Danna,Roberto Schaefer,Tim Squyres,,Netflix,"July 28, 2019 ( SFJFF ) July 31, 2019 (United States)",130 minutes,Canada United States,English,,,130,,,28-07-19,,,,Gideon Raff,Bron Studios EMJAG Productions Shaken Not Stirred,,,,,,,,,,,,,,,,,,,,,
165,Otherhood,Cindy Chupack,Jason Michael Berman Cathy Schulman,,"['Whatever Makes You Happy', 'by', 'William Sutcliffe']",Angela Bassett Patricia Arquette Felicity Huffman Jake Hoffman Jake Lacy Sinqua Walls Heidi Gardner Stephen Kunken Damian Young Afton Williamson Becki Newton Frank De Julio Mario Cantone Molly Bernard Emily Tremaine Tim Bagley,Marcelo Zarvos,Declan Quinn,Sunny Hodge Kevin Tent,Mandalay Pictures Welle Entertainment,Netflix,"July 21, 2019 (51Fest) August 2, 2019 (United States)",100 minutes,United States,English,,,100,,,21-07-19,,,,Cindy Chupack Mark Andrus,,,,,,,,,,,,,,,,,,,,,,
166,Jaoon Kahan Bata Ae Dil / Lovefucked,Aadish Keluskar,Vinay Mishra Pallavi Rohatgi Preety Ali Raghavan Bharadwaj,,,Khushboo Upadhyay Rohit Kokate Himanshu Kohli Mohammed Shakir,Aishwarya Malgave,Amey V Chavan,Anvay Shinde,,Netflix,October 2018 (Mumbai Film Festival) 21 June 2019,106 minutes,India,Hindi English,"(US$140,000)",,106,140000,,,,,,Aadish Keluskar,Humaramovie,,,,,,,,,,,,,,,,,,,,,
167,Sextuplets,Michael Tiddes,Marlon Wayans Rick Alvarez Nathan Reimann,Mike Glock Rick Alvarez Marlon Wayans,,Marlon Wayans Bresha Webb Michael Ian Black Molly Shannon Glynn Turman,John Debney,Don Burgess,Lawrence Jordan,,Netflix,"August 16, 2019 (United States)",99 minutes,United States,English,,,99,,,16-08-19,,,,,Ugly Baby Productions Wayans Alvarez Productions,Mike Glock,,,,,,,,,,,,,,,,,,,,
168,Falling Inn Love,Roger Kumble,Robyn Snyder Mel Turner,,,Christina Milian Adam Demos Jeffrey Bowyer-Chapman,Edward Shearmur,Dave Garbett,Anita Brandt Burgoyne,,Netflix,"August 29, 2019 (United States)",98 minutes,United States,English,,,98,,,29-08-19,,,,Elizabeth Hackett Hilary Galanoy,MarVista Entertainment,,,,,,,,,,,,,,,,,,,,,
169,Back to School,Remy Four Julien War,,,,Jérôme Niel Ludovik Day Nicolas Berno,,,,,Netflix,30-Aug-19,,France,French,,,,,,30-08-19,,,,Remy Four Julien War,2425 Films,,,,,,,,,,,,,,,,,,,,,
